Product URL,Product Name,Product Price,Rating,Number of Reviews
https://www.amazon.in/Zipline-Nexa-Resistant-Bagpack-Backpack/dp/B08WQ668WJ/ref=mp_s_a_1_18?crid=2M096C61O4MLT&keywords=bags&qid=1692733921&sprefix=ba%2Caps%2C283&sr=8-18,Zipline Unisex Casual Polyester 36 L Backpack School Bag Women Men Boys Girls Children Daypack College Bag Book School Sports Bag,843,3.6,0
https://www.amazon.in/ZIPLINE-Polyester-Backpack-Children-Daypack/dp/B07XVMR33Q/ref=mp_s_a_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1692733921&sprefix=ba%2Caps%2C283&sr=8-19,Zipline Unisex casual polyester 36 L Backpack School Bag Women Men Boys Girls children Daypack College Bag Book School Sports Bag Weekend Bag,843,4.0,0
https://www.amazon.in/WILDHORN-Backpack-Compartment-Business-Stitching/dp/B09QL66G55/ref=mp_s_a_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1692733921&sprefix=ba%2Caps%2C283&sr=8-20,"WILDHORN 31L Laptop Backpack for Men/Women I Fits upto 15.6"" Laptop I Waterproof I Travel/Business/College Bookbags",599,4.1,0
https://www.amazon.in/Lunars-V-Line-Resistant-Bagpack-College/dp/B08BP5CYDV/ref=mp_s_a_1_21?crid=2M096C61O4MLT&keywords=bags&qid=1692733921&sprefix=ba%2Caps%2C283&sr=8-21,"Lunar's V-Line Backpack for Men, Blue | 35L Water Resistant School Bags for Boys | Stylish, & Durable | College Bags for Men/College Bag for Girls | 1 Yr Warranty",735,4.1,0
https://www.amazon.in/Safari-Laptop-Backpack-Resistant-Fabric/dp/B09B28TKLG/ref=mp_s_a_1_22?crid=2M096C61O4MLT&keywords=bags&qid=1692733921&sprefix=ba%2Caps%2C283&sr=8-22,Safari Quill Large Laptop Backpack 26 Ltrs Water Resistant Fabric - Blue,859,4.0,0
https://www.amazon.in/Lavie-Sport-Duffle-Luggage-Trolley/dp/B097RJ22Q3/ref=mp_s_a_1_23?crid=2M096C61O4MLT&keywords=bags&qid=1692733921&sprefix=ba%2Caps%2C283&sr=8-23,Lavie Sport Lino Large Size 63 cms Wheel Duffle Bag for Travel | Travel Bag with Trolley,"1,049",4.0,0
https://www.amazon.in/ADISA-BP005-Weight-Casual-Backpack/dp/B07F3X45WZ/ref=mp_s_a_1_24?crid=2M096C61O4MLT&keywords=bags&qid=1692733921&sprefix=ba%2Caps%2C283&sr=8-24,ADISA Light Weight Laptop Backpack 32 Ltrs,499,4.0,0
https://www.amazon.in/Arctic-Fox-Liters-String-Backpack/dp/B08L6Q9V1H/ref=mp_s_a_1_25?crid=2M096C61O4MLT&keywords=bags&qid=1692733921&sprefix=ba%2Caps%2C283&sr=8-25,Arctic Fox 15 Liters Draw String Bag Lavender Backpack,209,4.2,0
https://www.amazon.in/Wesley-Spartan-Hiking-Raincover-Organiser/dp/B098QFF5TJ/ref=mp_s_a_1_26?crid=2M096C61O4MLT&keywords=bags&qid=1692733921&sprefix=ba%2Caps%2C283&sr=8-26,Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag,749,4.1,0
https://www.amazon.in/Nivia-6853-Polyester-Basic-Duffle/dp/B07FWQ9HRV/ref=mp_s_a_1_27?crid=2M096C61O4MLT&keywords=bags&qid=1692733921&sprefix=ba%2Caps%2C283&sr=8-27,NIVIA Basic Duffle Polyester Bag/Gym Bags/Adjustable Shoulder Bag for Men/Duffle Gym Bags for Men/Fitness Bag/Carry Bags/Sports & Travel Bag/Sports Kit/Duffle Bags Travel,269,4.0,0
https://www.amazon.in/Genie-Flamenco2-Backpack-Compatible-Resistant/dp/B08YF9VHTY/ref=mp_s_a_1_28?crid=2M096C61O4MLT&keywords=bags&qid=1692733921&sprefix=ba%2Caps%2C283&sr=8-28,Genie Flamenco2 Casual Backpacks for Women,733,4.3,0
https://www.amazon.in/SAFARI-Ltrs-Casual-Backpack-DAYPACKNEO15CBSEB/dp/B07Q7CNPMV/ref=mp_s_a_1_29?crid=2M096C61O4MLT&keywords=bags&qid=1692733942&sprefix=ba%2Caps%2C283&sr=8-29,Safari Compact Size 15 Ltrs Casual Backpack For Unisex Adult - Sea Blue,329,4.0,0
https://www.amazon.in/AUXTER-BLACKY-Duffel-Emboss-Black/dp/B07F2H25NP/ref=mp_s_a_1_30?crid=2M096C61O4MLT&keywords=bags&qid=1692733942&sprefix=ba%2Caps%2C283&sr=8-30,AUXTER Faux Leather 23 Cms Duffle Bag(AUX_GB_LE_Black -SE__0521_Black),429,4.3,0
https://www.amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4FK9G/ref=mp_s_a_1_31?crid=2M096C61O4MLT&keywords=bags&qid=1692733942&sprefix=ba%2Caps%2C283&sr=8-31,"American Tourister VALEX BLUE LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER","1,399",4.2,0
https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B0BPTV3795/ref=mp_s_a_1_32?crid=2M096C61O4MLT&keywords=bags&qid=1692733942&sprefix=ba%2Caps%2C283&sr=8-32,ADISA 32L large laptop backpack office bag college travel back pack with rain cover,599,3.9,0
https://www.amazon.in/ADISA-Casual-Backpack-College-BP046-NAV_Navy/dp/B0BX3QFVSM/ref=mp_s_a_1_33?crid=2M096C61O4MLT&keywords=bags&qid=1692733942&sprefix=ba%2Caps%2C283&sr=8-33,ADISA 31 Ltrs Casual Backpack School College Bag Pack,399,3.9,0
https://www.amazon.in/Zebronics-TechshieldA1-Compartment-15-6-inch-Polyester/dp/B0C6QV9GCY/ref=mp_s_a_1_34?crid=2M096C61O4MLT&keywords=bags&qid=1692733942&sprefix=ba%2Caps%2C283&sr=8-34,"Zebronics TechshieldA1, 18 Liters, 1 Compartment Laptop Backpack and Front Pocket, fit Up to 15.6-inch Laptop, Polyester Fabric, Office Use and Mini Business Travel Bags (Light Grey)",599,5.0,0
https://www.amazon.in/Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP/ref=mp_s_a_1_35?crid=2M096C61O4MLT&keywords=bags&qid=1692733942&sprefix=ba%2Caps%2C283&sr=8-35,Gear Aspire 30L Water Restant Office Laptop Bag/Backpack for Men/Women/(Black),"1,115",4.3,0
https://www.amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4S4XF/ref=mp_s_a_1_36?crid=2M096C61O4MLT&keywords=bags&qid=1692733942&sprefix=ba%2Caps%2C283&sr=8-36,"American Tourister VALEX BLACK LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER","1,399",4.3,0
https://www.amazon.in/Nivia-5183-Polyester-Duffle-Medium/dp/B071KNXQ7Y/ref=mp_s_a_1_37?crid=2M096C61O4MLT&keywords=bags&qid=1692733942&sprefix=ba%2Caps%2C283&sr=8-37,NIVIA Beast Gym Bag-4 Polyester/Unisex Gym Bags/Shoulder Bag for Men & Women with Separate Shoes Compartment/Carry Gym Accessories/Fitness Bag/Sports & Travel Bag/Sports Kit,499,4.2,0
https://www.amazon.in/Half-Moon-Backpack-Spacious-Multiple/dp/B0C23Z9W18/ref=mp_s_a_1_38?crid=2M096C61O4MLT&keywords=bags&qid=1692733942&sprefix=ba%2Caps%2C283&sr=8-38,Half Moon Aztec 37L School Bag Class 5-12 | College Bagpack for Men/College Back pack for Women | 15.6 inch Laptop Bag for Men/Backpack for Men | Spacious & Multiple Pockets,649,3.6,0
https://www.amazon.in/Genie-Miami-litres-Casual-Backpack/dp/B07SRGGGNC/ref=mp_s_a_1_39?crid=2M096C61O4MLT&keywords=bags&qid=1692733942&sprefix=ba%2Caps%2C283&sr=8-39,"Genie Miami Laptop Backpack for Women,Tuition bag, 16 inches Office Bag, Sky Blue Stylish and Trendy Bag for Office and College",803,4.2,0
https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B085S444JV/ref=mp_s_a_1_40?crid=2M096C61O4MLT&keywords=bags&qid=1692733942&sprefix=ba%2Caps%2C283&sr=8-40,"Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L, Charcoal black",588,4.3,0
https://www.amazon.in/LOOKMUSTER-Waterproof-Backpack-College-Business/dp/B0BS6YGKMC/ref=mp_s_a_1_41?crid=2M096C61O4MLT&keywords=bags&qid=1692733942&sprefix=ba%2Caps%2C283&sr=8-41,LOOKMUSTER Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack…,613,3.9,0
https://www.amazon.in/AmazonBasics-Mini-Backpack-Outdoor-Black/dp/B0BRKFXT9Z/ref=mp_s_a_1_42?crid=2M096C61O4MLT&keywords=bags&qid=1692733942&sprefix=ba%2Caps%2C283&sr=8-42,AmazonBasics - Mini Backpack for Outdoor Use (12 l) (Black),279,3.7,0
https://www.amazon.in/LOOKMUSTER-Waterproof-Backpack-College-Business/dp/B0BS6YGKMC/ref=mp_s_a_1_43?crid=2M096C61O4MLT&keywords=bags&qid=1692733959&sprefix=ba%2Caps%2C283&sr=8-43,LOOKMUSTER Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack…,613,3.9,0
https://www.amazon.in/TRUE-Emperor-Anti-Theft-backpack-charging/dp/B0BYB631NR/ref=mp_s_a_1_44?crid=2M096C61O4MLT&keywords=bags&qid=1692733959&sprefix=ba%2Caps%2C283&sr=8-44,"TRUE HUMAN® Emperor Anti-Theft Pocket backpack With USB charging Port Laptop,office,college,travel bag for men and women(Epower)",599,3.6,0
https://www.amazon.in/Lavie-Sport-Duffle-Luggage-Trolley/dp/B097RJ22Q3/ref=mp_s_a_1_45?crid=2M096C61O4MLT&keywords=bags&qid=1692733959&sprefix=ba%2Caps%2C283&sr=8-45,Lavie Sport Lino Large Size 63 cms Wheel Duffle Bag for Travel | Travel Bag with Trolley,"1,049",4.0,0
